"","version","doi","v1","v2","v3","v4","v5","v6"
"3051","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3051,"ratlosigkeit",1.77999997138977,1.21705567836761,3,3
"3052","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3052,"rattenplage",3.29999995231628,0.923380494117737,3,3
"3053","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3053,"rattenschwanz",1.87179481983185,1.10452389717102,2,2
"3054","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3054,"rau",0.878787875175476,1.11123740673065,0,0
"3055","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3055,"raubbau",1.87999999523163,1.28793454170227,3,3
"3056","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3056,"rauben",2.36363625526428,1.43336856365204,2,2
"3057","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3057,"raubzug",3.17499995231628,0.384807646274567,3,3
"3058","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3058,"rauchen",1.95454549789429,1.17421793937683,2,2
"3059","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3059,"raus",1.90666663646698,1.27526712417603,3,3
"3060","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3060,"rauschgiftsüchtig",3.09999990463257,0.967906057834625,3,3
"3061","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3061,"rausschickenen",2.27272725105286,1.55505037307739,3,3
"3062","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3062,"reaktionär",2.02758622169495,1.26899361610413,3,3
"3063","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3063,"real",1.34693872928619,1.43688058853149,0,0
"3064","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3064,"realisierung",1.40625,1.34066367149353,0,0
"3065","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3065,"realistisch",0.947368443012238,1.31122016906738,0,0
"3066","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3066,"realitätsfern",2.62295079231262,0.839919328689575,3,3
"3067","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3067,"realitätsfremd",2.43333339691162,0.810245156288147,3,3
"3068","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3068,"realitätsverweigerung",2.65625,0.9708451628685,3,3
"3069","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3069,"rebell",1.95505619049072,1.45313227176666,3,3
"3070","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3070,"rebellion",2.59999990463257,0.966091811656952,3,3
"3071","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3071,"reblaus",0.600000023841858,0.843274056911469,0,0
"3072","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3072,"rechnen",1.53921568393707,1.4933123588562,0,0
"3073","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3073,"rechtfertigen",2.1266667842865,1.24402821063995,3,3
"3074","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3074,"rechtsbeugung",2.79999995231628,0.788810610771179,3,3
"3075","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3075,"rechtsextrem",2.01315784454346,1.34157538414001,3,3
"3076","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3076,"rechtsextremismus",1.54166662693024,1.8172881603241,0,0
"3077","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3077,"rechtsextremist",3,1.09544515609741,3,3
"3078","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3078,"rechtspopulist",1.96296298503876,1.48016321659088,3,3
"3079","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3079,"rechtspopulistisch",2.18181824684143,1.53741228580475,3,3
"3080","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3080,"rechtsradikal",2.54999995231628,1.31689429283142,3,3
